NetworkID_All	Name_map	NetworkID	MappingID	Label_db	detected	NodeType	ChEBI	HMDB.lip	KEGG	HMDB.accession	Ensembl	Uniprot	X8_adj.pval	X8_logFC	X8_pval	X8_significance	X7_adj.pval	X7_logFC	X7_pval	X7_significance	X6_adj.pval	X6_logFC	X6_pval	X6_significance	X5_adj.pval	X5_logFC	X5_pval	X5_significance	X4_adj.pval	X4_logFC	X4_pval	X4_significance	X3_adj.pval	X3_logFC	X3_pval	X3_significance	X2_adj.pval	X2_logFC	X2_pval	X2_significance	X1_adj.pval	X1_logFC	X1_pval	X1_significance	MaxSig	Differential.feature	Label_Sig	Color8	Color7	Color6	Color5	Color4	Color3	Color2	Color1	ColorAny	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny	ID	Map_No	Name	name
11	AABR07058479.1	R169	A0A8I6AII9	AABR07058479.1	*	GeneProduct					ENSRNOG00000047414	A0A8I6AII9	1	0.04775725	0.9200755	0.036176533645717	1	-0.1087048	0.8376394	-0.0769429029622712	1	-0.3923433	0.4871735	-0.312316343357073	1	-0.2834673	0.6044225	-0.218659377152398	1	-0.7097785	0.2685097	-0.571040020652017	1	-0.1634392	0.8063342	-0.0934849195677678	1	-0.4057266	0.5023593	-0.298985553389929	1	-0.68802	0.2440957	-0.612439871065076	-0.612439871065076			0.04775725	-0.1087048	-0.3923433	-0.2834673	-0.7097785	-0.1634392	-0.4057266	-0.68802	-0.7097785	0.1	0.1087048	0.3923433	0.2834673	0.7097785	0.1634392	0.4057266	0.68802	0.7097785				
12	Aacs	K4	Aacs	Aacs	*	GeneProduct					ENSRNOG00000000967	Q9JMI1	1	-0.0423769838468345	0.895475487515723	-0.0479462979024574	1	0.878587345567806	0.0151612266050284	1.81926566108882	1	0.569365047070406	0.15055120198902	0.822315772764209	1	0.2118707293136	0.582426357164919	0.23475897965609	1	0.320986253143526	0.418984071862054	0.377802486899823	1	0.349986342827972	0.409342317216701	0.387913356298494	1	0.926915231913665	0.0148825847743026	1.82732163493734	1	-0.0281064853144838	0.939391120176846	-0.027153549407638	1.82732163493734			-0.0423769838468345	0.878587345567806	0.569365047070406	0.2118707293136	0.320986253143526	0.349986342827972	0.926915231913665	-0.0281064853144838	0.926915231913665	0.1	0.878587345567806	0.569365047070406	0.2118707293136	0.320986253143526	0.349986342827972	0.926915231913665	0.1	0.926915231913665				
13	Aadac	K5, H623	Aadac	Aadac	*	GeneProduct					ENSRNOG00000013950	Q9QZH8	1	0.1649423	0.07056475	1.15141219276631	1	-0.07395815	0.4724426	-0.325650949096643	1	0.03012429	0.7880447	0.10344914746888	1	0.03534651	0.7454576	0.127577053230033	0.2319718	0.3304918	7.894915e-05	4.10265254142892	1	0.287826	0.001302848	2.88510624937711	1	0.1500584	0.06350264	1.19720821937575	1	0.1341718	0.08538651	1.06861073698467	4.10265254142892	*	Aadac	0.1649423	-0.07395815	0.03012429	0.03534651	0.3304918	0.287826	0.1500584	0.1341718	0.3304918	0.1649423	0.1	0.1	0.1	0.3304918	0.287826	0.1500584	0.1341718	0.3304918				
14	Aadat	K6, H228	Aadat	Aadat	*	GeneProduct					ENSRNOG00000011861	Q64602	1	0.07433566	0.4062659	0.391189628727814	1	-0.0257742	0.7979097	-0.0980462552792556	1	-0.0141567	0.8973464	-0.047039875163362	1	0.07498112	0.4823319	0.316654014180478	1	0.1663755	0.02763673	1.55851334432855	1	0.1253377	0.120756	0.918091281262545	1	0.04282372	0.5560011	0.254924349203091	1	0.01662921	0.8125568	0.0901462708852439	1.55851334432855			0.07433566	-0.0257742	-0.0141567	0.07498112	0.1663755	0.1253377	0.04282372	0.01662921	0.1663755	0.1	0.1	0.1	0.1	0.1663755	0.1253377	0.1	0.1	0.1663755				
15	Aanat	K7	Aanat	Aanat		GeneProduct																																										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
16	Aasdhppt	K8	Aasdhppt	Aasdhppt	*	GeneProduct					ENSRNOG00000005795	B2RYJ4	1	0.03816729	0.6258607	0.203522318472268	1	0.1787046	0.04146685	1.38229895425685	1	-0.0682431	0.4789093	-0.319746729256275	1	-0.0120839	0.8967615	-0.0473230452574957	1	-0.04400284	0.6529152	-0.185143220813082	1	-0.02052108	0.8439508	-0.0736828708048242	1	-0.1063352	0.2584553	-0.587614557568051	1	0.09485938	0.2924041	0.534016542128363	1.38229895425685			0.03816729	0.1787046	-0.0682431	-0.0120839	-0.04400284	-0.02052108	-0.1063352	0.09485938	0.1787046	0.1	0.1787046	0.1	0.1	0.1	0.1	0.1063352	0.1	0.1787046				
17	Aass	K9, H236	Aass	Aass	*	GeneProduct					ENSRNOG00000039494	A2VCW9	1	0.109952	0.4632506	0.334184009512529	1	-0.3365337	0.04597627	-1.33746626543139	1	0.3414107	0.063058	1.20025980781485	1	0.2716148	0.1286055	0.890740457783699	1	0.07751622	0.7317074	0.135662552780035	1	0.4349187	0.07198546	1.1427552157834	1	-0.01827845	0.9330697	-0.0300859133866524	1	0.06939071	0.7408251	0.130284311684076	-1.33746626543139			0.109952	-0.3365337	0.3414107	0.2716148	0.07751622	0.4349187	-0.01827845	0.06939071	0.4349187	0.109952	0.3365337	0.3414107	0.2716148	0.1	0.4349187	0.1	0.1	0.4349187				
18	Abat	K10, H194	Abat	Abat	*	GeneProduct					ENSRNOG00000002636	P50554	1	0.1026312	0.3849658	0.414577851091549	1	0.02673638	0.8404492	0.0754885318692792	1	-0.02755787	0.8490741	-0.0710544065560286	1	-0.002433447	0.9862204	-0.00602601831694803	1	0.15607	0.1430663	0.844462654483862	1	0.2367109	0.03772416	1.42338042183538	1	0.07475098	0.4662049	0.331423166182714	1	0.125747	0.2034355	0.691573259334428	1.42338042183538			0.1026312	0.02673638	-0.02755787	-0.002433447	0.15607	0.2367109	0.07475098	0.125747	0.2367109	0.1026312	0.1	0.1	0.1	0.15607	0.2367109	0.1	0.125747	0.2367109				
19	Abca3	R148	A0A0G2K1Q8	ABCA3	*	GeneProduct					ENSRNOG00000050057	A0A0G2K1Q8	1	-0.09442509	0.3024526	-0.519342677776569	1	-0.1142798	0.2673168	-0.572973746376192	1	0.02128614	0.8496672	0.070751146645078	1	-0.02522963	0.8173091	-0.0876136655767535	1	0.01901272	0.8048639	0.0942775512795246	1	-0.09083616	0.2703009	-0.568152508262122	1	-0.04515921	0.5422398	-0.265808608692062	1	0.0397169	0.5775945	0.238376950879939	-0.572973746376192			-0.09442509	-0.1142798	0.02128614	-0.02522963	0.01901272	-0.09083616	-0.04515921	0.0397169	-0.1142798	0.1	0.1142798	0.1	0.1	0.1	0.1	0.1	0.1	0.1142798				
20	Abhd10	K11	Abhd10	Abhd10	*	GeneProduct					ENSRNOG00000054334	Q5I0K5	1	-1.945781	0.1038529	-0.98358137167185	1	-0.5829948	0.6629943	-0.178490205364741	1	0.4779577	0.7417221	0.129758780762964	1	-0.1299434	0.9270108	-0.0329152061434402	1	0.3684819	0.7660206	0.115759551064484	1	0.5854968	0.6584273	0.181492170515169	1	-1.306692	0.2795757	-0.55350057904414	1	0.1218021	0.9156882	0.0382523823054156	-0.98358137167185			-1.945781	-0.5829948	0.4779577	-0.1299434	0.3684819	0.5854968	-1.306692	0.1218021	-1.945781	1.945781	0.5829948	0.4779577	0.1299434	0.3684819	0.5854968	1.306692	0.1218021	1.945781				
21	Abhd17a	K12	Abhd17a	Abhd17a	*	GeneProduct					ENSRNOG00000018212	Q5XIJ5	1	0.08181385	0.1890115	0.72351177130505	1	0.09456321	0.1768971	0.752279286730305	1	0.01167609	0.8788345	0.056092902519019	1	0.04526789	0.5425468	0.265562793691206	1	-0.02195954	0.7575607	-0.120582563328759	1	-0.07455824	0.3268751	-0.485618160926114	1	0.07181635	0.2929007	0.533279590401795	1	0.04235202	0.5199836	0.28401035356101	0.752279286730305			0.08181385	0.09456321	0.01167609	0.04526789	-0.02195954	-0.07455824	0.07181635	0.04235202	0.09456321	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
22	Abhd17b	K13	Abhd17b	Abhd17b	*	GeneProduct					ENSRNOG00000012514	Q6AY17	1	0.3470126	0.006814738	2.16655083643115	1	-0.05392876	0.7117007	-0.147702607018392	1	0.08861512	0.5746312	0.240610797383445	1	0.04451265	0.7712473	0.11280634334399	1	0.001931428	0.9888507	0.0048692746928053	1	0.0136166	0.9266444	0.0330868944922137	1	-0.2213104	0.09822532	-1.00777654766242	1	-0.3017461	0.01954913	-1.70887256535797	2.16655083643115			0.3470126	-0.05392876	0.08861512	0.04451265	0.001931428	0.0136166	-0.2213104	-0.3017461	0.3470126	0.3470126	0.1	0.1	0.1	0.1	0.1	0.2213104	0.3017461	0.3470126				
23	Abhd17c	K14	Abhd17c	Abhd17c	*	GeneProduct					ENSRNOG00000012683	B5DFK7	1	-0.006825322	0.9458535	-0.0241761247700961	1	0.01836097	0.8709371	0.0600132090673354	1	0.02660181	0.8292077	0.0813366737127834	1	-0.07640184	0.524007	-0.280662911411182	1	-0.03651065	0.7105983	-0.148375835829948	1	-0.01977811	0.8506916	-0.0702278555360632	1	0.04360715	0.6443172	0.190900275039834	1	0.005324495	0.9533881	0.0207302731521991	-0.280662911411182			-0.006825322	0.01836097	0.02660181	-0.07640184	-0.03651065	-0.01977811	0.04360715	0.005324495	-0.07640184	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
24	Abhd5	K15, H618	Abhd5	Abhd5	*	GeneProduct					ENSRNOG00000000221	Q6QA69	0.444356238724971	0.382940292359465	0.000196790432161753	3.70599602054068	1	-0.0251484049554801	0.828774682278664	-0.0815635243877103	1	0.244461782251012	0.0529840643933099	1.2758547301482	1	0.175349021589061	0.153103499646853	0.815014882064992	1	0.369099311375438	0.0668994733098816	1.17457730135792	1	-0.0862611838445028	0.689233333836887	-0.161633726651545	1	0.115834463219815	0.550489696854476	0.259250805013975	1	-0.00274936258700952	0.988277324246939	-0.0051211692889453	3.70599602054068	*	Abhd5	0.382940292359465	-0.0251484049554801	0.244461782251012	0.175349021589061	0.369099311375438	-0.0862611838445028	0.115834463219815	-0.00274936258700952	0.382940292359465	0.382940292359465	0.1	0.244461782251012	0.175349021589061	0.369099311375438	0.1	0.115834463219815	0.1	0.382940292359465				
25	Abi1	H526	Abi1	Abi1	*	GeneProduct					ENSRNOG00000031325	Q9QZM5	1	0.1323033	0.06400721	1.19377110278409	1	0.05256527	0.5139739	0.289058934261096	1	0.1287821	0.1414894	0.849276095079235	1	0.06944528	0.4144823	0.382494010774648	1	0.07017552	0.4338148	0.362695635704283	1	0.008128232	0.9323992	0.0303981077766589	1	0.05681909	0.5094793	0.292873456561189	1	0.02778588	0.7380449	0.131917216457343	1.19377110278409			0.1323033	0.05256527	0.1287821	0.06944528	0.07017552	0.008128232	0.05681909	0.02778588	0.1323033	0.1323033	0.1	0.1287821	0.1	0.1	0.1	0.1	0.1	0.1323033				
26	Acaa1a	K16	Acaa1a	Acaa1a	*	GeneProduct					ENSRNOG00000032908	P21775	1	0.0614007	0.3790285	0.421328133231451	1	-0.0744485	0.3430137	-0.464688533847661	1	-0.08306993	0.3318069	-0.479114586965163	1	0.01083179	0.8964676	0.047465402025378	1	0.00984451	0.8660257	0.0624692197579743	1	-0.05169087	0.4074925	-0.389880380147536	1	-0.02941215	0.6003364	-0.221605323410941	1	-0.01028795	0.8491694	-0.0710056641181287	-0.479114586965163			0.0614007	-0.0744485	-0.08306993	0.01083179	0.00984451	-0.05169087	-0.02941215	-0.01028795	-0.08306993	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
27	Acaa1b	K17, H577	Acaa1b	Acaa1b		GeneProduct																																										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
28	Acaa2	K18, H396	Acaa2	Acaa2	*	GeneProduct					ENSRNOG00000013766	P13437	1	-0.1455736	0.1304377	-0.884596867686649	1	-0.08953693	0.4077525	-0.389603367546114	1	-0.174232	0.139406	-0.855718533907917	1	-0.1539831	0.1795223	-0.745881596303447	0.5505528	-0.2656757	0.0002675719	-3.57255949746522	1	-0.1139368	0.1436961	-0.842555018723561	1	-0.04066113	0.5619792	-0.250279758260819	1	-0.06451889	0.3398458	-0.468718092956947	-3.57255949746522	*	Acaa2	-0.1455736	-0.08953693	-0.174232	-0.1539831	-0.2656757	-0.1139368	-0.04066113	-0.06451889	-0.2656757	0.1455736	0.1	0.174232	0.1539831	0.2656757	0.1139368	0.1	0.1	0.2656757				
29	Acad11	H624	Acad11	Acad11	*	GeneProduct					ENSRNOG00000010940	B3DMA2	1	0.05474138	0.4892283	0.310488428621953	1	-0.1205086	0.1757178	-0.755184242772079	1	-0.001500212	0.9876562	-0.00539420564224031	1	0.05527506	0.557978	0.253382924121484	1	0.0601271	0.5035822	0.297929629196421	1	0.01714855	0.8584292	0.0662955179955229	1	-0.01959674	0.8208331	-0.0857451390042996	1	0.04101696	0.6228586	0.205610534736833	-0.755184242772079			0.05474138	-0.1205086	-0.001500212	0.05527506	0.0601271	0.01714855	-0.01959674	0.04101696	-0.1205086	0.1	0.1205086	0.1	0.1	0.1	0.1	0.1	0.1	0.1205086				
30	Acad8	H429	Acad8	Acad8	*	GeneProduct					ENSRNOG00000048164	A0A8I5ZQL5	1	0.06104938	0.5807929	0.235978701381084	1	-0.006124604	0.9609791	-0.0172860575482857	1	0.1044901	0.4433932	0.353210971630016	1	-0.02774714	0.8340623	-0.0788015086719643	1	0.02029522	0.8773076	0.0568481083893387	1	0.1061576	0.4487307	0.348014217107221	1	0.0483782	0.7018906	0.153730573794463	1	0.1665624	0.1695684	0.770655077694238	0.770655077694238			0.06104938	-0.006124604	0.1044901	-0.02774714	0.02029522	0.1061576	0.0483782	0.1665624	0.1665624	0.1	0.1	0.1044901	0.1	0.1	0.1061576	0.1	0.1665624	0.1665624				
31	Acad9	H430	Acad9	Acad9	*	GeneProduct					ENSRNOG00000014178	B1WC61	1	0.1223589	0.1490489	0.826671224768505	1	0.0658242	0.4913317	0.308625214918813	1	-0.08731152	0.4052454	-0.39228190619186	1	0.01331337	0.8958175	0.0477804577663059	1	0.1748754	0.02295707	1.63908354153677	1	0.02791723	0.7347485	0.133861291873094	1	0.03308182	0.6555346	0.183404380720647	1	0.05088327	0.4763312	0.32209097098881	1.63908354153677			0.1223589	0.0658242	-0.08731152	0.01331337	0.1748754	0.02791723	0.03308182	0.05088327	0.1748754	0.1223589	0.1	0.1	0.1	0.1748754	0.1	0.1	0.1	0.1748754				
32	Acadl	K19, H415	Acadl	Acadl	*	GeneProduct					ENSRNOG00000012966	P15650	1	0.04110133	0.5213795	0.282846048756307	1	-0.05609235	0.4363822	-0.360132972564534	1	-0.05884742	0.4537666	-0.343167474007555	1	0.04606378	0.5464851	0.262421674658461	1	-0.1382081	0.01337701	-1.87364094827324	1	-0.1049054	0.0788798	-1.10303419922058	1	-0.0520442	0.3324986	-0.478210178973071	1	0.04357698	0.3995367	0.398443321793214	-1.87364094827324			0.04110133	-0.05609235	-0.05884742	0.04606378	-0.1382081	-0.1049054	-0.0520442	0.04357698	-0.1382081	0.1	0.1	0.1	0.1	0.1382081	0.1049054	0.1	0.1	0.1382081				
33	Acadm	K20, H417	Acadm	Acadm	*	GeneProduct					ENSRNOG00000009845	P08503	1	-0.03548244	0.6252631	-0.203937200520108	1	-0.07488671	0.3590803	-0.44480842064942	1	-0.03757211	0.6729272	-0.172031916977255	1	0.0004954337	0.9954356	0.00198683153745798	1	-0.1124509	0.0513181	-1.28972943130706	1	-0.07410026	0.2296597	-0.63891520682124	1	-0.07211981	0.1938911	-0.712442125473117	1	0.01342874	0.8018136	0.0959265817162496	-1.28972943130706			-0.03548244	-0.07488671	-0.03757211	0.0004954337	-0.1124509	-0.07410026	-0.07211981	0.01342874	-0.1124509	0.1	0.1	0.1	0.1	0.1124509	0.1	0.1	0.1	0.1124509				
34	Acads	K21, H416	Acads	Acads	*	GeneProduct					ENSRNOG00000001177	P15651	1	0.122672184171496	0.060501484888991	1.21823396631974	1	-0.0418150894582754	0.5698027171686	-0.244275484109326	1	-0.0312397549610627	0.697041022968681	-0.156741661608368	1	0.10176534260138	0.191793919287765	0.717165165995554	1	-0.0706612890325638	0.176177187171482	-0.754050328199592	1	-0.0758645287560559	0.173989695097836	-0.759476472951165	1	-0.00985938271921884	0.844148975161277	-0.0735809024488601	1	0.0322246689080585	0.504558804106914	0.297088211367804	1.21823396631974			0.122672184171496	-0.0418150894582754	-0.0312397549610627	0.10176534260138	-0.0706612890325638	-0.0758645287560559	-0.00985938271921884	0.0322246689080585	0.122672184171496	0.122672184171496	0.1	0.1	0.10176534260138	0.1	0.1	0.1	0.1	0.122672184171496				
35	Acadsb	K22, H425	Acadsb	Acadsb	*	GeneProduct					ENSRNOG00000020624	P70584	1	0.1969201	0.009395194	2.02709424778702	1	0.194252	0.02266125	1.64471613802382	1	-0.03848628	0.6793117	-0.167930905353804	1	0.009564986	0.9157843	0.038206806191388	1	-0.1228421	0.1806097	-0.743258928754806	1	-0.01691593	0.8628938	-0.0640426514598557	1	-0.05452698	0.5363449	-0.270555844644236	1	0.009358793	0.9122668	0.0398781300678755	2.02709424778702			0.1969201	0.194252	-0.03848628	0.009564986	-0.1228421	-0.01691593	-0.05452698	0.009358793	0.1969201	0.1969201	0.194252	0.1	0.1	0.1228421	0.1	0.1	0.1	0.1969201				
36	Acadvl	K23, H431	Acadvl	Acadvl	*	GeneProduct					ENSRNOG00000018114	P45953	1	0.04648354	0.3696218	0.432242422353166	1	-0.04819655	0.4083709	-0.388945212764598	1	0.02640094	0.6779216	0.168820528339618	1	0.1055401	0.08766013	1.05719788962273	1	-0.09249307	0.03278936	-1.48426706003637	1	-0.0308396	0.504964	-0.296739582591533	1	-0.05106219	0.2200307	-0.657516719585011	1	0.03883326	0.3325909	0.478089637659648	-1.48426706003637			0.04648354	-0.04819655	0.02640094	0.1055401	-0.09249307	-0.0308396	-0.05106219	0.03883326	0.1055401	0.1	0.1	0.1	0.1055401	0.1	0.1	0.1	0.1	0.1055401				
37	Acap1	H465	Acap1	Acap1	*	GeneProduct					ENSRNOG00000015674		1	0.05418982	0.8034057	0.0950650913624189	1	0.04487041	0.8551501	0.0679576491544233	1	-0.08762759	0.7479404	-0.126133007726958	1	0.1143872	0.6629466	0.178521452378535	1	-0.8227684	0.01563553	-1.80588739282372	1	-0.6787517	0.058564	-1.23236926803914	1	-0.1844491	0.5601925	-0.251662709918767	1	-0.3196837	0.2959736	-0.528747025041218	-1.80588739282372			0.05418982	0.04487041	-0.08762759	0.1143872	-0.8227684	-0.6787517	-0.1844491	-0.3196837	-0.8227684	0.1	0.1	0.1	0.1143872	0.8227684	0.6787517	0.1844491	0.3196837	0.8227684				
38	Acat1	K24	Acat1	Acat1	*	GeneProduct					ENSRNOG00000007862	P17764	1	-0.0495995	0.5937164	-0.226420954558644	1	-0.1154552	0.2693677	-0.569654481934364	1	-0.04247939	0.709319	-0.149158406872686	1	0.1191304	0.2824048	0.549127925907071	1	-0.08598914	0.09045832	-1.04355148227112	1	-0.02877745	0.5955586	-0.225075499664766	1	-0.05979232	0.2205438	-0.65650514674359	1	0.02474418	0.5985127	0.222926629749798	-1.04355148227112			-0.0495995	-0.1154552	-0.04247939	0.1191304	-0.08598914	-0.02877745	-0.05979232	0.02474418	0.1191304	0.1	0.1154552	0.1	0.1191304	0.1	0.1	0.1	0.1	0.1191304				
39	Acat2	K25, H402	Acat2	Acat2	*	GeneProduct					ENSRNOG00000019189	Q5XI22	1	0.202973	0.5203444	0.283709114999031	1	0.6313482	0.0750757	1.12450060978206	1	0.04722014	0.9029879	0.0443180691753525	1	-0.1780429	0.6367685	-0.196018428647501	0.1939924	0.7442447	6.174086e-05	4.20942732544263	1	0.3460434	0.08301124	1.08086309871455	1	0.5433448	0.002445228	2.61168063980199	1	0.4585546	0.008067847	2.09324234641438	4.20942732544263	*	Acat2	0.202973	0.6313482	0.04722014	-0.1780429	0.7442447	0.3460434	0.5433448	0.4585546	0.7442447	0.202973	0.6313482	0.1	0.1780429	0.7442447	0.3460434	0.5433448	0.4585546	0.7442447				
40	Acat2l1	K26	Acat2l1	Acat2l1	*	GeneProduct					ENSRNOG00000013975		1	0.1286116	0.3987612	0.399287105740687	1	0.4503473	0.008286683	2.08161927440403	1	0.03330334	0.8601059	0.0654480732283364	1	-0.05871497	0.7484397	-0.125843183981157	1	0.09444212	0.5933877	0.22666146017201	1	0.1472505	0.4356136	0.360898569887904	1	0.04511479	0.7910845	0.101777124689806	1	0.2280331	0.1627734	0.788416564908027	2.08161927440403			0.1286116	0.4503473	0.03330334	-0.05871497	0.09444212	0.1472505	0.04511479	0.2280331	0.4503473	0.1286116	0.4503473	0.1	0.1	0.1	0.1472505	0.1	0.2280331	0.4503473				
41	Acbd5	H626	Acbd5	Acbd5	*	GeneProduct					ENSRNOG00000017642	A0FKI7	1	0.05932295	0.5073303	0.294709198928735	1	0.05976111	0.5526959	0.257513757082745	1	-0.08749464	0.4263653	-0.370218147864567	1	-0.01056209	0.9212502	-0.0356224048491614	1	0.1351238	0.0365186	1.4374858802048	1	0.01604277	0.8166946	0.0879403159652573	1	-0.0215568	0.7295686	-0.136933865935378	1	-0.01818564	0.7622254	-0.117916583120869	1.4374858802048			0.05932295	0.05976111	-0.08749464	-0.01056209	0.1351238	0.01604277	-0.0215568	-0.01818564	0.1351238	0.1	0.1	0.1	0.1	0.1351238	0.1	0.1	0.1	0.1351238				
42	Acer1	H387	Acer1	Acer1		GeneProduct																																										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
